brand_id,canonical_brand_name,brand_aliases,is_active,created_date,updated_date
BRD001,ConnectPro,[],True,2025-01-01,2025-07-01
BRD002,DV,[],True,2025-01-01,2025-07-01
BRD003,DatVault,[],True,2025-01-01,2025-07-01
BRD004,DatVlt,[],True,2025-01-01,2025-07-01
BRD005,Data Vault,[],True,2025-01-01,2025-07-01
BRD006,DataVault,[],True,2025-01-01,2025-07-01
BRD007,OfficeLink,[],True,2025-01-01,2025-07-01
BRD008,Officelink,[],True,2025-01-01,2025-07-01
BRD009,ProConnect,[],True,2025-01-01,2025-07-01
BRD010,TF,[],True,2025-01-01,2025-07-01
BRD011,TechFlow,[],True,2025-01-01,2025-07-01
BRD012,ViewMaster,[],True,2025-01-01,2025-07-01
BRD013,officelink,[],True,2025-01-01,2025-07-01
